language,example,file,lines,chars,tokens
Rust,find-prime-numbers,rust/src/bin/find_prime_numbers.rs,19,369,102
Rust,http-rest,rust/src/bin/http_rest.rs,57,1441,391
Rust,json-parser,rust/src/bin/json_parser.rs,147,4394,1157
Rust,word-frequency,rust/src/bin/word_frequency.rs,17,565,152
TypeScript,find-prime-numbers,typescript/src/find-prime-numbers.ts,13,305,103
TypeScript,http-rest,typescript/src/http-rest.ts,21,580,165
TypeScript,json-parser,typescript/src/json-parser.ts,102,2664,763
TypeScript,word-frequency,typescript/src/word-frequency.ts,11,404,129
Zig,find-prime-numbers,zig/src/find_prime_numbers.zig,23,515,166
Zig,http-rest,zig/src/http_rest.zig,65,2040,576
Zig,json-parser,zig/src/json_parser.zig,165,4769,1205
Zig,word-frequency,zig/src/word_frequency.zig,42,1371,368
Go,find-prime-numbers,go/cmd/find_prime_numbers/main.go,25,309,114
Go,http-rest,go/cmd/http_rest/main.go,59,1146,346
Go,json-parser,go/cmd/json_parser/main.go,120,1750,618
Go,word-frequency,go/cmd/word_frequency/main.go,37,746,234
Python,find-prime-numbers,python/src/find_prime_numbers.py,13,254,86
Python,http-rest,python/src/http_rest.py,39,719,202
Python,json-parser,python/src/json_parser.py,96,2022,497
Python,word-frequency,python/src/word_frequency.py,9,289,76
