task,lang,tokens,byte_len,total_bits,bpb,avg_bits,ppl,prompt_sha256
find-prime-numbers,rust,104,369,77.391058,0.209732,0.744145,1.674981,c0912cfc3a058e918cccd4f539c9a088be9f5b31bebeeeac7767e5ef22e1d1fa
find-prime-numbers,typescript,104,305,118.488335,0.388486,1.139311,2.202758,d13c7eb0b9cabcbee6f5b0eebe97d9969d8c93a9510d9f756f84efa61524d5d0
find-prime-numbers,zig,170,515,99.964960,0.194107,0.588029,1.503192,c60536b9e9a45d66df7855d597f0958760979e95290a1dcb700eee0d4977ac6e
find-prime-numbers,go,116,309,58.191052,0.188321,0.501647,1.415829,b80de871dc87e2257cc791e5d506cefd154bb3d53e850222041eca6e422324ad
find-prime-numbers,python,88,254,76.725239,0.302068,0.871878,1.830043,769e25c286ab7fbd90fa455b0239a9fee64ac90e98fdb315557c5059f2047bd4
http-rest,rust,396,1441,152.649692,0.105933,0.385479,1.306293,48be380bd6dc78ec1efe2f2c460b142c2d3e6f868269f664b92cd17ac56bf219
http-rest,typescript,169,580,104.605957,0.180355,0.618970,1.535779,31e98e7bb6fda328cad49838f3d0767a00d0b032aecfe932db4376bf455ba359
http-rest,zig,580,2040,339.123673,0.166237,0.584696,1.499723,653bc061b01266c71985402dfbe77f0e84105e13ac476f123ccd1aa11573b351
http-rest,go,341,1146,113.383135,0.098938,0.332502,1.259195,3b7778aac521dda98166e9b10f64ffe4ec206179434f47720a1fdd160fb0ad1f
http-rest,python,208,719,109.983674,0.152968,0.528768,1.442696,37ca88ef159057913a4aa38704aebcb1bac465776d1e14b9f35c1aed34b61eb1
json-parser,rust,1172,4394,468.840848,0.106700,0.400035,1.319540,ec813838c1b5f6c8f786fbf8c8a027f44b6df6c7f4704c922b0819dc31ddd2e5
json-parser,typescript,761,2664,458.103981,0.171961,0.601976,1.517794,f61123ccf67fbce88dd88ef16f4a58fd868567e372eda3bc0c78d1c8a6c592d5
json-parser,zig,1211,4769,550.650023,0.115464,0.454707,1.370504,ce55f08d918669c4aef0d238f4bf51161d89cea473dc6788aa72bf814d3c98ae
json-parser,go,617,1750,235.724040,0.134699,0.382049,1.303191,b350b91098cf6608d057cd90c092155b7ed5bfff6797dc1e0f2b0c2129f49c31
json-parser,python,503,2022,252.058829,0.124658,0.501111,1.415303,5603a3ff7782e78f9b250f9713ceaaa3c979859f13cbef4d6371b827f8e03fe1
word-frequency,rust,150,565,163.006674,0.288507,1.086711,2.123893,a123f92c5c57e3491898a57f043d998a8723560aa698f292d89ebed9800de22c
word-frequency,typescript,125,404,216.936537,0.536972,1.735492,3.329931,6a3be00a2c476e5bfa2ca93c6ec95e7a2d4fde5c33e6d52b6bea5bd0c3192bfa
word-frequency,zig,366,1371,355.231877,0.259104,0.970579,1.959627,d34f130c5c64771fe10e46b02e746b74819dfd790e3ef2bc2b50e3d18186507d
word-frequency,go,231,746,189.035855,0.253399,0.818337,1.763372,312a3735f5d7844b2321d7c394bb54abd767948195be387fe7bf471942725f9c
word-frequency,python,76,289,168.191071,0.581976,2.213040,4.636514,cdfe4c16997a5a7a0fe6074809fb58004a94522248b912846764f6d40d00d4d7
