task,lang,tokens,byte_len,total_bits,ppl,prompt_sha256
primes,rust,90,228,64.956721,1.649171,c0912cfc3a058e918cccd4f539c9a088be9f5b31bebeeeac7767e5ef22e1d1fa
primes,typescript,76,235,67.456933,1.850085,d13c7eb0b9cabcbee6f5b0eebe97d9969d8c93a9510d9f756f84efa61524d5d0
primes,zig,170,570,95.145028,1.473939,c60536b9e9a45d66df7855d597f0958760979e95290a1dcb700eee0d4977ac6e
primes,go,119,331,70.457374,1.507417,b80de871dc87e2257cc791e5d506cefd154bb3d53e850222041eca6e422324ad
primes,python,72,202,82.314054,2.208782,769e25c286ab7fbd90fa455b0239a9fee64ac90e98fdb315557c5059f2047bd4
http-rest,rust,395,1434,164.633359,1.334957,48be380bd6dc78ec1efe2f2c460b142c2d3e6f868269f664b92cd17ac56bf219
http-rest,typescript,182,622,121.351124,1.587509,31e98e7bb6fda328cad49838f3d0767a00d0b032aecfe932db4376bf455ba359
http-rest,zig,580,2038,346.092006,1.512264,653bc061b01266c71985402dfbe77f0e84105e13ac476f123ccd1aa11573b351
http-rest,go,427,1447,176.299992,1.331341,3b7778aac521dda98166e9b10f64ffe4ec206179434f47720a1fdd160fb0ad1f
http-rest,python,208,719,109.983674,1.442696,37ca88ef159057913a4aa38704aebcb1bac465776d1e14b9f35c1aed34b61eb1
json-parser,rust,1121,4194,450.100877,1.320896,ec813838c1b5f6c8f786fbf8c8a027f44b6df6c7f4704c922b0819dc31ddd2e5
json-parser,typescript,734,2560,477.987527,1.570484,f61123ccf67fbce88dd88ef16f4a58fd868567e372eda3bc0c78d1c8a6c592d5
json-parser,zig,1150,4562,529.289672,1.375782,ce55f08d918669c4aef0d238f4bf51161d89cea473dc6788aa72bf814d3c98ae
json-parser,go,740,2167,310.879401,1.338027,b350b91098cf6608d057cd90c092155b7ed5bfff6797dc1e0f2b0c2129f49c31
json-parser,python,760,3173,436.783999,1.489384,5603a3ff7782e78f9b250f9713ceaaa3c979859f13cbef4d6371b827f8e03fe1
word-frequency,rust,158,629,113.679282,1.646599,a123f92c5c57e3491898a57f043d998a8723560aa698f292d89ebed9800de22c
word-frequency,typescript,130,465,97.852003,1.684952,6a3be00a2c476e5bfa2ca93c6ec95e7a2d4fde5c33e6d52b6bea5bd0c3192bfa
word-frequency,zig,378,1421,314.112527,1.778900,d34f130c5c64771fe10e46b02e746b74819dfd790e3ef2bc2b50e3d18186507d
word-frequency,go,240,817,116.995470,1.401995,312a3735f5d7844b2321d7c394bb54abd767948195be387fe7bf471942725f9c
word-frequency,python,85,345,81.469678,1.943244,cdfe4c16997a5a7a0fe6074809fb58004a94522248b912846764f6d40d00d4d7
