language,example,file,lines,chars,tokens
Rust,primes,rust/src/bin/primes.rs,9,228,84
Rust,http-rest,rust/src/bin/http_rest.rs,59,1434,392
Rust,json-parser,rust/src/bin/json_parser.rs,139,4194,1106
Rust,word-frequency,rust/src/bin/word_frequency.rs,17,629,161
TypeScript,primes,typescript/src/primes.ts,8,235,74
TypeScript,http-rest,typescript/src/http-rest.ts,30,622,178
TypeScript,json-parser,typescript/src/json-parser.ts,105,2560,736
TypeScript,word-frequency,typescript/src/word-frequency.ts,12,465,132
Zig,primes,zig/src/primes.zig,25,570,169
Zig,http-rest,zig/src/http_rest.zig,65,2038,576
Zig,json-parser,zig/src/json_parser.zig,157,4562,1144
Zig,word-frequency,zig/src/word_frequency.zig,42,1421,380
Go,primes,go/cmd/primes/main.go,26,331,117
Go,http-rest,go/cmd/http_rest/main.go,69,1447,439
Go,json-parser,go/cmd/json_parser/main.go,144,2167,748
Go,word-frequency,go/cmd/word_frequency/main.go,40,817,243
Python,primes,python/src/primes.py,8,202,70
Python,http-rest,python/src/http_rest.py,39,719,202
Python,json-parser,python/src/json_parser.py,129,3173,764
Python,word-frequency,python/src/word_frequency.py,8,345,85
